Origem,Valor ,Destino,Directed,At,From,To,Direct,Amount,Descrição,Fonte,,
PETROBRÁS,"3,5 bilhões",ALUMINI,,,,,TRUE,100000,Contrato,Ver aba Petrobrás,,
PETROBRÁS,"2,5 bilhões",ANDRADE GUTIERREZ,,,,,TRUE,100000,Contrato,Ver aba Petrobrás,,
PETROBRÁS,"1,04 bilhão",ENGEVIX,,,,,TRUE,100000,Contrato,Ver aba Petrobrás,,
PETROBRÁS,"1,7 bilhão",GDK,,,,,TRUE,100000,Contrato,Ver aba Petrobrás,,
PETROBRÁS,"3,2 bilhões",IESA,,,,,TRUE,100000,Contrato,Ver aba Petrobrás,,
PETROBRÁS,"1,9 bilhão",MENDES JUNIOR,,,,,TRUE,100000,Contrato,Ver aba Petrobrás,,
PETROBRÁS,"24,2 bilhões",ODEBRECHT,,,,,TRUE,100000000000,Contrato,Ver aba Petrobrás,,
PETROBRÁS,121 milhões,PROMON,,,,,TRUE,100,Contrato,Ver aba Petrobrás,,
PETROBRÁS,"2,2 bilhões",QUEIROZ GALVÃO,,,,,TRUE,100000,Contrato,Ver aba Petrobrás,,
PETROBRÁS,"1,8 bilhão",SKANSKA,,,,,TRUE,100000,Contrato,Ver aba Petrobrás,,
PETROBRÁS,"2,47 bilhões",TECHINT,,,,,TRUE,100000,Contrato,Ver aba Petrobrás,,
PETROBRÁS,"2,9 bilhões",TOYO,,,,,TRUE,100000,Contrato,Ver aba Petrobrás,,
PETROBRÁS,740 mil,UTC,,,,,TRUE,100,Contrato,Ver aba Petrobrás,,
ANDRADE GUTIERREZ,"1,3 milhões",DEM,,,,,TRUE,100,Doação ao Partido,Ver aba Doações Oficiais,,
ANDRADE GUTIERREZ,"11,2 mil",PC do B,,,,,TRUE,1,Doação ao Partido,Ver aba Doações Oficiais,,
ANDRADE GUTIERREZ,800 mil,PMDB,,,,,TRUE,1,Doação ao Partido,Ver aba Doações Oficiais,,
ANDRADE GUTIERREZ,"11,6 milhões",PMDB,,,,,TRUE,100000000000,Doação ao Partido,Ver aba Doações Oficiais,,
ANDRADE GUTIERREZ,"1,7 milhão",PP,,,,,TRUE,100,Doação ao Partido,Ver aba Doações Oficiais,,
ANDRADE GUTIERREZ,650 mil,PR,,,,,TRUE,1,Doação ao Partido,Ver aba Doações Oficiais,,
ANDRADE GUTIERREZ,"2,5 milhões",PSB,,,,,TRUE,100,Doação ao Partido,Ver aba Doações Oficiais,,
ANDRADE GUTIERREZ,"1,2 milhão",PSD,,,,,TRUE,100,Doação ao Partido,Ver aba Doações Oficiais,,
ANDRADE GUTIERREZ,350 mil,PSD,,,,,TRUE,1,Doação ao Partido,Ver aba Doações Oficiais,,
ANDRADE GUTIERREZ,"26,3 milhões",PSDB,,,,,TRUE,100000000000,Doação ao Partido,Ver aba Doações Oficiais,,
ANDRADE GUTIERREZ,"34,7 milhões",PT,,,,,TRUE,100000000000,Doação ao Partido,Ver aba Doações Oficiais,,
ANDRADE GUTIERREZ,"1,3 milhão",PTN,,,,,TRUE,100,Doação ao Partido,Ver aba Doações Oficiais,,
ANDRADE GUTIERREZ,100 mil,PV,,,,,TRUE,1,Doação ao Partido,Ver aba Doações Oficiais,,
ANDRADE GUTIERREZ,550 mil,SD,,,,,TRUE,1,Doação ao Partido,Ver aba Doações Oficiais,,
CAMARGO CORREA,"1,5 milhão",DEM,,,,,TRUE,100,Doação ao Partido,Ver aba Doações Oficiais,,
CAMARGO CORREA,2 milhões,PT,,,,,TRUE,100,Doação ao Partido,Ver aba Doações Oficiais,,
COESA,250 mil,DEM,,,,,TRUE,1,Doação ao Partido,Ver aba Doações Oficiais,,
COESA,250 mil,PSB,,,,,TRUE,1,Doação ao Partido,Ver aba Doações Oficiais,,
COESA,697 mil,PT,,,,,TRUE,1,Doação ao Partido,Ver aba Doações Oficiais,,
ENGEVIX,225 mil,PDT,,,,,TRUE,1,Doação ao Partido,Ver aba Doações Oficiais,,
ENGEVIX,40 mil,PMDB,,,,,TRUE,1,Doação ao Partido,Ver aba Doações Oficiais,,
ENGEVIX,160 mil,PP,,,,,TRUE,1,Doação ao Partido,Ver aba Doações Oficiais,,
ENGEVIX,25 mil,PPL,,,,,TRUE,1,Doação ao Partido,Ver aba Doações Oficiais,,
ENGEVIX,"2,3 milhões",PR,,,,,TRUE,100,Doação ao Partido,Ver aba Doações Oficiais,,
ENGEVIX,50 mil,PROS,,,,,TRUE,1,Doação ao Partido,Ver aba Doações Oficiais,,
ENGEVIX,240 mil,PSB,,,,,TRUE,1,Doação ao Partido,Ver aba Doações Oficiais,,
ENGEVIX,50 mil,PSC,,,,,TRUE,1,Doação ao Partido,Ver aba Doações Oficiais,,
ENGEVIX,260 mil,PSDB,,,,,TRUE,1,Doação ao Partido,Ver aba Doações Oficiais,,
ENGEVIX,200 mil,PSL,,,,,TRUE,1,Doação ao Partido,Ver aba Doações Oficiais,,
ENGEVIX,"5,8 milhões",PT,,,,,TRUE,100000,Doação ao Partido,Ver aba Doações Oficiais,,
ENGEVIX,150 mil,PTB,,,,,TRUE,1,Doação ao Partido,Ver aba Doações Oficiais,,
ENGEVIX,200 mil,PTC,,,,,TRUE,1,Doação ao Partido,Ver aba Doações Oficiais,,
ENGEVIX,200 mil,PV,,,,,TRUE,1,Doação ao Partido,Ver aba Doações Oficiais,,
OAS,"3,2 milhão",DEM,,,,,TRUE,100,Doação ao Partido,Ver aba Doações Oficiais,,
OAS,600 mil,PC do B,,,,,TRUE,1,Doação ao Partido,Ver aba Doações Oficiais,,
OAS,400 mil,PDT,,,,,TRUE,1,Doação ao Partido,Ver aba Doações Oficiais,,
OAS,"15,3 milhões",PMDB,,,,,TRUE,100000000000,Doação ao Partido,Ver aba Doações Oficiais,,
OAS,"3,6 milhões",PP,,,,,TRUE,100,Doação ao Partido,Ver aba Doações Oficiais,,
OAS,3 milhões,PR,,,,,TRUE,100,Doação ao Partido,Ver aba Doações Oficiais,,
OAS,"4,7 milhões",PSB,,,,,TRUE,100,Doação ao Partido,Ver aba Doações Oficiais,,
OAS,"2,15 milhões",PSD,,,,,TRUE,100,Doação ao Partido,Ver aba Doações Oficiais,,
OAS,12 milhões,PSDB,,,,,TRUE,100000000000,Doação ao Partido,Ver aba Doações Oficiais,,
OAS,"33,2 milhões",PT,,,,,TRUE,100000000000,Doação ao Partido,Ver aba Doações Oficiais,,
OAS,700 mil,PTB,,,,,TRUE,1,Doação ao Partido,Ver aba Doações Oficiais,,
OAS,590 mil,PTN,,,,,TRUE,1,Doação ao Partido,Ver aba Doações Oficiais,,
OAS,600 mil,PV,,,,,TRUE,1,Doação ao Partido,Ver aba Doações Oficiais,,
ODEBRECHT,"4,6 milhões",DEM,,,,,TRUE,100,Doação ao Partido,Ver aba Doações Oficiais,,
ODEBRECHT,230 mil,PC do B,,,,,TRUE,1,Doação ao Partido,Ver aba Doações Oficiais,,
ODEBRECHT,200 mil,PDT,,,,,TRUE,1,Doação ao Partido,Ver aba Doações Oficiais,,
ODEBRECHT,60 mil,PHS,,,,,TRUE,1,Doação ao Partido,Ver aba Doações Oficiais,,
ODEBRECHT,"15,3 milhões",PMDB,,,,,TRUE,100000000000,Doação ao Partido,Ver aba Doações Oficiais,,
ODEBRECHT,790 mil,PP,,,,,TRUE,1,Doação ao Partido,Ver aba Doações Oficiais,,
ODEBRECHT,700 mil,PPS,,,,,TRUE,1,Doação ao Partido,Ver aba Doações Oficiais,,
ODEBRECHT,370 mil,PR,,,,,TRUE,1,Doação ao Partido,Ver aba Doações Oficiais,,
ODEBRECHT,600 mil,PRB,,,,,TRUE,1,Doação ao Partido,Ver aba Doações Oficiais,,
ODEBRECHT,300 mil,PROS,,,,,TRUE,1,Doação ao Partido,Ver aba Doações Oficiais,,
ODEBRECHT,30 mil,PRP,,,,,TRUE,1,Doação ao Partido,Ver aba Doações Oficiais,,
ODEBRECHT,"3,7 milhões",PSB,,,,,TRUE,100,Doação ao Partido,Ver aba Doações Oficiais,,
ODEBRECHT,530 mil,PSC,,,,,TRUE,1,Doação ao Partido,Ver aba Doações Oficiais,,
ODEBRECHT,880 mil,PSD,,,,,TRUE,1,Doação ao Partido,Ver aba Doações Oficiais,,
ODEBRECHT,"13,4 milhões",PSDB,,,,,TRUE,100000000000,Doação ao Partido,Ver aba Doações Oficiais,,
ODEBRECHT,20 mil,PSL,,,,,TRUE,1,Doação ao Partido,Ver aba Doações Oficiais,,
ODEBRECHT,"14,5 milhões",PT,,,,,TRUE,100000000000,Doação ao Partido,Ver aba Doações Oficiais,,
ODEBRECHT,703 mil,PTB,,,,,TRUE,1,Doação ao Partido,Ver aba Doações Oficiais,,
ODEBRECHT,50 mil,PTC,,,,,TRUE,1,Doação ao Partido,Ver aba Doações Oficiais,,
ODEBRECHT,220 mil,PT do B,,,,,TRUE,1,Doação ao Partido,Ver aba Doações Oficiais,,
ODEBRECHT,100 mil,PTN,,,,,TRUE,1,Doação ao Partido,Ver aba Doações Oficiais,,
ODEBRECHT,290 mil,PV,,,,,TRUE,1,Doação ao Partido,Ver aba Doações Oficiais,,
ODEBRECHT,"1,3 milhão",SD,,,,,TRUE,100,Doação ao Partido,Ver aba Doações Oficiais,,
QUEIROZ GALVÃO,3 milhões,DEM,,,,,TRUE,100,Doação ao Partido,Ver aba Doações Oficiais,,
QUEIROZ GALVÃO,170 mil,PC do B,,,,,TRUE,1,Doação ao Partido,Ver aba Doações Oficiais,,
QUEIROZ GALVÃO,"3,1 milhões",PDT,,,,,TRUE,100,Doação ao Partido,Ver aba Doações Oficiais,,
QUEIROZ GALVÃO,"1,05 milhão",PEN,,,,,TRUE,100,Doação ao Partido,Ver aba Doações Oficiais,,
QUEIROZ GALVÃO,"18,5 milhões",PMDB,,,,,TRUE,100000000000,Doação ao Partido,Ver aba Doações Oficiais,,
QUEIROZ GALVÃO,"7,8 milhões",PP,,,,,TRUE,100000,Doação ao Partido,Ver aba Doações Oficiais,,
QUEIROZ GALVÃO,240 mil,PPS,,,,,TRUE,1,Doação ao Partido,Ver aba Doações Oficiais,,
QUEIROZ GALVÃO,"2,05 milhões",PR,,,,,TRUE,100,Doação ao Partido,Ver aba Doações Oficiais,,
QUEIROZ GALVÃO,80 mil,PRB,,,,,TRUE,1,Doação ao Partido,Ver aba Doações Oficiais,,
QUEIROZ GALVÃO,"1,04 milhão",PROS,,,,,TRUE,100,Doação ao Partido,Ver aba Doações Oficiais,,
QUEIROZ GALVÃO,6 mil,PRP,,,,,TRUE,1,Doação ao Partido,Ver aba Doações Oficiais,,
QUEIROZ GALVÃO,"9,5 milhões",PSB,,,,,TRUE,100000,Doação ao Partido,Ver aba Doações Oficiais,,
QUEIROZ GALVÃO,600 mil,PSC,,,,,TRUE,1,Doação ao Partido,Ver aba Doações Oficiais,,
QUEIROZ GALVÃO,"3,7 milhões",PSD,,,,,TRUE,100,Doação ao Partido,Ver aba Doações Oficiais,,
QUEIROZ GALVÃO,"7,1 milhões",PSDB,,,,,TRUE,100000,Doação ao Partido,Ver aba Doações Oficiais,,
QUEIROZ GALVÃO,"710,5 reais",PSDC,,,,,TRUE,1,Doação ao Partido,Ver aba Doações Oficiais,,
QUEIROZ GALVÃO,"153,8 mil",PSL,,,,,TRUE,1,Doação ao Partido,Ver aba Doações Oficiais,,
QUEIROZ GALVÃO,"18,8 milhões",PT,,,,,TRUE,100000000000,Doação ao Partido,Ver aba Doações Oficiais,,
QUEIROZ GALVÃO,"1,5 milhão",PTB,,,,,TRUE,100,Doação ao Partido,Ver aba Doações Oficiais,,
QUEIROZ GALVÃO,403 mil,PT do B,,,,,TRUE,1,Doação ao Partido,Ver aba Doações Oficiais,,
QUEIROZ GALVÃO,400 mil,SD,,,,,TRUE,1,Doação ao Partido,Ver aba Doações Oficiais,,
TOYO,130 mil,PC do B,,,,,TRUE,1,Doação ao Partido,Ver aba Doações Oficiais,,
TOYO,50 mil,PMDB,,,,,TRUE,1,Doação ao Partido,Ver aba Doações Oficiais,,
TOYO,2 milhões,PR,,,,,TRUE,100,Doação ao Partido,Ver aba Doações Oficiais,,
TOYO,60 mil,PSB,,,,,TRUE,1,Doação ao Partido,Ver aba Doações Oficiais,,
TOYO,60 mil,PSDB,,,,,TRUE,1,Doação ao Partido,Ver aba Doações Oficiais,,
TOYO,290 mil,PT,,,,,TRUE,1,Doação ao Partido,Ver aba Doações Oficiais,,
UTC,"4,7 milhões",DEM,,,,,TRUE,100,Doação ao Partido,Ver aba Doações Oficiais,,
UTC,3 milhões,PC do B,,,,,TRUE,100,Doação ao Partido,Ver aba Doações Oficiais,,
UTC,"1,6 milhão",PDT,,,,,TRUE,100,Doação ao Partido,Ver aba Doações Oficiais,,
UTC,50 mil,PEN,,,,,TRUE,1,Doação ao Partido,Ver aba Doações Oficiais,,
UTC,"3,9 milhões",PMDB,,,,,TRUE,100,Doação ao Partido,Ver aba Doações Oficiais,,
UTC,602 mil,PMN,,,,,TRUE,1,Doação ao Partido,Ver aba Doações Oficiais,,
UTC,875 mil,PP,,,,,TRUE,1,Doação ao Partido,Ver aba Doações Oficiais,,
UTC,150 mil,PPS,,,,,TRUE,1,Doação ao Partido,Ver aba Doações Oficiais,,
UTC,"2,55 milhões",PR,,,,,TRUE,100,Doação ao Partido,Ver aba Doações Oficiais,,
UTC,125 mil,PRB,,,,,TRUE,1,Doação ao Partido,Ver aba Doações Oficiais,,
UTC,"1,4 milhões",PRTB,,,,,TRUE,100,Doação ao Partido,Ver aba Doações Oficiais,,
UTC,750 mil,PSB,,,,,TRUE,1,Doação ao Partido,Ver aba Doações Oficiais,,
UTC,"100,4 mil",PSC,,,,,TRUE,1,Doação ao Partido,Ver aba Doações Oficiais,,
UTC,700 mil,PSD,,,,,TRUE,1,Doação ao Partido,Ver aba Doações Oficiais,,
UTC,"9,08 milhões",PSDB,,,,,TRUE,100000,Doação ao Partido,Ver aba Doações Oficiais,,
UTC,"21,6 milhões",PT,,,,,TRUE,100000000000,Doação ao Partido,Ver aba Doações Oficiais,,
UTC,15 mil,PTB,,,,,TRUE,1,Doação ao Partido,Ver aba Doações Oficiais,,
UTC,1 mil,PT do B,,,,,TRUE,1,Doação ao Partido,Ver aba Doações Oficiais,,
UTC,50 mil,PV,,,,,TRUE,1,Doação ao Partido,Ver aba Doações Oficiais,,
UTC,"1,4 milhões",SD,,,,,TRUE,100,Doação ao Partido,Ver aba Doações Oficiais,,
BNDES,"72,9 milhões",ALUMINI,,,,,TRUE,100,Empréstimo Público,Ver aba Financiamento do BNDES,,
BNDES,701 milhões,ANDRADE GUTIERREZ,,,,,TRUE,100,Empréstimo Público,Ver aba Financiamento do BNDES,,
BNDES,"2,7 bilhões",CAMARGO CORREA,,,,,TRUE,100000000000,Empréstimo Público,Ver aba Financiamento do BNDES,,
BNDES,457 mil,COESA,,,,,TRUE,1,Empréstimo Público,Ver aba Financiamento do BNDES,,
BNDES,"3,4 milhões",ENGEVIX,,,,,TRUE,100,Empréstimo Público,Ver aba Financiamento do BNDES,,
BNDES,"56,1 milhões",MENDES JUNIOR,,,,,TRUE,100,Empréstimo Público,Ver aba Financiamento do BNDES,,
BNDES,900 milhões,OAS,,,,,TRUE,100,Empréstimo Público,Ver aba Financiamento do BNDES,,
BNDES,"29,4 bilhões",ODEBRECHT,,,,,TRUE,100000000000,Empréstimo Público,Ver aba Financiamento do BNDES,,
BNDES,"2,1 bilhões",QUEIROZ GALVÃO,,,,,TRUE,100000000000,Empréstimo Público,Ver aba Financiamento do BNDES,,
BNDES,134 milhões,UTC,,,,,TRUE,100,Empréstimo Público,Ver aba Financiamento do BNDES,,
ANDRADE GUTIERREZ,1 bilhão,CADE,,,,,TRUE,100000000000,Multa por condenação,Ver aba Multas Pagas,,
CAMARGO CORREA,700 milhões,CADE,,,,,TRUE,100,Multa por condenação,Ver aba Multas Pagas,,
ENGEVIX,539 milhões,CADE,,,,,TRUE,100,Multa por condenação,Ver aba Multas Pagas,,
MENDES JUNIOR,1 bilhão,CADE,,,,,TRUE,100000000000,Multa por condenação,Ver aba Multas Pagas,,
OAS,989 milhões,CADE,,,,,TRUE,100,Multa por condenação,Ver aba Multas Pagas,,
ODEBRECHT,"6,8 bilhões",CADE,,,,,TRUE,100000000000,Multa por condenação,Ver aba Multas Pagas,,
QUEIROZ GALVÃO,1 bilhão,CADE,,,,,TRUE,100000000000,Multa por condenação,Ver aba Multas Pagas,,
UTC,"139,1 milhões",CADE,,,,,TRUE,100,Multa por condenação,Ver aba Multas Pagas,,
LINHA DO TEMPO,-,-,,,,,,,Referências utilizadas para formulação da Linha do Tempo,Fonte 1,Fonte 2,Fonte 3