Empresa,CNPJ, Empréstimo por CNPJ (R$),Empréstimo total por empresa (R$),Fonte
ODEBRECHT,"15.102.288.000.182,00","29.265.435.477,17","29.441.225.641,15",Portal de Transparência do BNDES 
,"10.904.193.000.169,00","175.790.163,98",,
,"8.091.102.000.171,00","0,00",,
,"8.636.745.000.153,00","0,00",,
CAMARGO CORREA,"61.522.512.000.102,00","2.769.318.476,00","2.784.659.816,00",Portal de Transparência do BNDES 
,"11.178.024.000.151,00","15.341.340,00",,
QUEIROZ GALVÃO,"1.340.937.000.179,00","0,00","2.127.219.436,60",Portal de Transparência do BNDES 
,"33.412.792.000.160,00","2.126.953.436,60",,
,"11.535.028.000.140,00","266.000,00",,
,"40.843.021.000.193,00","0,00",,
,"9.071.354.000.100,00","0,00",,
,"11.862.944.000.194,00","0,00",,
,"4.899.037.000.154,00","0,00",,
,"8.805.525.000.106,00","0,00",,
OAS,"14.310.577.003.049,00","0,00","900.162.408,91",Portal de Transparência do BNDES 
,"14.811.848.000.105,00","173.042.183,54",,
,"18.738.703.000.187,00","0,00",,
,"14.310.577.000.104,00","727.120.225,37",,
ANDRADE GUTIERREZ,"17.262.213.000.194,00","683.842.085,70","701.888.023,70",Portal de Transparência do BNDES 
,"17.262.213.027.637,00","18.045.938,00",,
UTC,"44.023.661.000.108,00","134.633.112,99","134.633.112,99",Portal de Transparência do BNDES 
ALUMINI,"58.580.465.000.149,00","72.977.465,99","72.977.465,99",Portal de Transparência do BNDES 
MENDES JUNIOR,"19.394.808.000.129,00","56.109.022,00","56.109.022,00",Portal de Transparência do BNDES 
ENGEVIX,"103.582.000.131,00","0,00","3.461.760,00",Portal de Transparência do BNDES 
,"103.582.000.301,00","0,00",,
,"11.754.525.000.139,00","3.461.760,00",,
COESA,"13.578.349.000.157,00","457.200,00","457.200,00",Portal de Transparência do BNDES 